id,b,c,v,t
46011029,46,11,29,"For he who eats and drinks in an unworthy manner eats and drinks judgment to himself, if he doesn't discern the Lord's body."
46011030,46,11,30,"For this cause many among you are weak and sickly, and not a few sleep."
46011031,46,11,31,"For if we discerned ourselves, we wouldn't be judged."
46011032,46,11,32,"But when we are judged, we are punished by the Lord, that we may not be condemned with the world."
46011033,46,11,33,"Therefore, my brothers, when you come together to eat, wait one for another."
46011034,46,11,34,"But if anyone is hungry, let him eat at home, lest your coming together be for judgment. The rest I will set in order whenever I come."
46012001,46,12,1,"Now concerning spiritual things, brothers, I don't want you to be ignorant."
46012002,46,12,2,"You know that when you were heathen{or Gentiles}, you were led away to those mute idols, however you might be led."
46012003,46,12,3,"Therefore I make known to you that no man speaking by God's Spirit says, ""Jesus is accursed."" No one can say, ""Jesus is Lord,"" but by the Holy Spirit."
46012004,46,12,4,"Now there are various kinds of gifts, but the same Spirit."
46012005,46,12,5,"There are various kinds of service, and the same Lord."
46012006,46,12,6,"There are various kinds of workings, but the same God, who works all things in all."
46012007,46,12,7,But to each one is given the manifestation of the Spirit for the profit of all.
46012008,46,12,8,"For to one is given through the Spirit the word of wisdom, and to another the word of knowledge, according to the same Spirit;"
46012009,46,12,9,"to another faith, by the same Spirit; and to another gifts of healings, by the same Spirit;"
46012010,46,12,10,and to another workings of miracles; and to another prophecy; and to another discerning of spirits; to another different kinds of languages; and to another the interpretation of languages.
46012011,46,12,11,"But the one and the same Spirit works all of these, distributing to each one separately as he desires."
46012012,46,12,12,"For as the body is one, and has many members, and all the members of the body, being many, are one body; so also is Christ."
